,precision,recall,f1-score,support
acne_rosacea,0.8395061728395061,0.8143712574850299,0.8267477203647416,167.0
atopic_dermatitis,0.651685393258427,0.6408839779005525,0.6462395543175488,181.0
bullous_disease,0.6818181818181818,0.6617647058823529,0.6716417910447762,68.0
eczema,0.7629310344827587,0.6579925650557621,0.7065868263473054,269.0
nail_fungus,0.8992805755395683,0.9615384615384616,0.929368029739777,130.0
tinea,0.7569832402234636,0.7855072463768116,0.7709815078236131,345.0
vitiligo,0.9930555555555556,0.9225806451612903,0.9565217391304348,155.0
warts,0.665,0.8109756097560976,0.7307692307692307,164.0
accuracy,0.7748478701825557,0.7748478701825557,0.7748478701825557,0.7748478701825557
macro avg,0.7812825192146826,0.7819518086445447,0.7798570499421784,1479.0
weighted avg,0.778089232922124,0.7748478701825557,0.7746404423174759,1479.0
