,precision,recall,f1-score,support
acne_rosacea,0.83125,0.7964071856287425,0.8134556574923547,167.0
atopic_dermatitis,0.7062146892655368,0.6906077348066298,0.6983240223463687,181.0
bullous_disease,0.5168539325842697,0.6764705882352942,0.5859872611464968,68.0
eczema,0.7782258064516129,0.7174721189591078,0.746615087040619,269.0
nail_fungus,0.9020979020979021,0.9923076923076923,0.945054945054945,130.0
tinea,0.8150470219435737,0.7536231884057971,0.7831325301204819,345.0
vitiligo,0.9863945578231292,0.9354838709677419,0.9602649006622517,155.0
warts,0.6683673469387755,0.7987804878048781,0.7277777777777777,164.0
accuracy,0.7856659905341447,0.7856659905341447,0.7856659905341447,0.7856659905341447
macro avg,0.7755564071381,0.7951441083894855,0.7825765227051619,1479.0
weighted avg,0.7924947730304805,0.7856659905341447,0.7871296929849344,1479.0
